product_name,ingredient,amount
prosciutto e funghi,ham,50
prosciutto e funghi,pecorino,10
prosciutto e funghi,parmesan,10
prosciutto e funghi,basil,3
prosciutto e funghi,olive oil,5
cacio e pepe,flour,200
cacio e pepe,water,120
cacio e pepe,yeast,2
cacio e pepe,salt,3
cacio e pepe,olive oil,10
cacio e pepe,mozzarella,100
cacio e pepe,guanciale,50
cacio e pepe,pecorino,10
cacio e pepe,parmesan,10
cacio e pepe,black pepper,2
cacio e pepe,basil,3
cacio e pepe,olive oil,5
con salame,flour,200
con salame,water,120
con salame,yeast,2
con salame,salt,3
con salame,olive oil,10
con salame,canned tomatoes,80
con salame,mozzarella,100
con salame,napoli salami,50
con salame,pecorino,10
con salame,parmesan,10
con salame,basil,3
con salame,olive oil,5
strega,flour,200
strega,water,120
strega,yeast,2
strega,salt,3
strega,olive oil,10
strega,garlic puree,30
strega,pickled pumpkin,40
strega,mushrooms,50
strega,parsley,3
strega,chili,2
strega,olive oil,5
mona lisa,flour,200
mona lisa,water,120
mona lisa,yeast,2
mona lisa,salt,3
mona lisa,olive oil,10
mona lisa,mozzarella,100
mona lisa,gorgonzola,50
mona lisa,yellow cherry tomatoes,30
mona lisa,red cherry tomatoes,30
mona lisa,pesto,20
mona lisa,olive oil,5
insalata caprese,mozzarella,100
insalata caprese,cherry tomatoes,80
insalata caprese,lemon zest,5
insalata caprese,basil,3
insalata caprese,olive oil,5
octopus arancini,rice,80
octopus arancini,octopus,50
octopus arancini,breadcrumbs,20
octopus arancini,eggs,30
octopus arancini,flour,30
octopus arancini,oil,10
cheese and peas arancini,rice,80
cheese and peas arancini,taleggio,50
cheese and peas arancini,peas,30
cheese and peas arancini,breadcrumbs,20
cheese and peas arancini,eggs,30
cheese and peas arancini,flour,30
cheese and peas arancini,oil,10
burrata with grapes & basil,burrata,100
burrata with grapes & basil,pickled grapes,50
burrata with grapes & basil,pine nuts,10
burrata with grapes & basil,basil mayonnaise,20
beef carpaccio,beef fillet,80
beef carpaccio,horseradish,5
beef carpaccio,lemon,10
beef carpaccio,olive oil,5
beef carpaccio,capers,10
beef carpaccio,sun-dried tomatoes,10
tiramisu della mamma,eggs,200
tiramisu della mamma,sugar,100
tiramisu della mamma,mascarpone,250
tiramisu della mamma,espresso,100
tiramisu della mamma,cocoa powder,20
tiramisu della mamma,flour,100
tiramisu della mamma,salt,2
tiramisu della mamma,baking powder,5
tiramisu della mamma,vanilla extract,5
tiramisu della mamma,coffee liqueur,50
chocolate gelato,chocolate,50
chocolate gelato,milk,100
chocolate gelato,cream,50
chocolate gelato,sugar,30
chocolate gelato,eggs,20
vanilla gelato,vanilla,5
vanilla gelato,milk,100
vanilla gelato,cream,50
vanilla gelato,sugar,30
vanilla gelato,eggs,20
strawberry gelato,strawberries,50
strawberry gelato,milk,100
strawberry gelato,cream,50
strawberry gelato,sugar,30
strawberry gelato,eggs,20
pistachio gelato,pistachios,50
pistachio gelato,milk,100
pistachio gelato,cream,50
pistachio gelato,sugar,30
pistachio gelato,eggs,20
mango gelato,mango,50
mango gelato,milk,100
mango gelato,cream,50
mango gelato,sugar,30
mango gelato,eggs,20
lemon gelato,lemons,50
lemon gelato,milk,100
lemon gelato,cream,50
lemon gelato,sugar,30
lemon gelato,eggs,20
zeppole,flour,200
zeppole,sugar,60
zeppole,eggs,50
zeppole,milk,100
zeppole,yeast,5
zeppole,butter,30
zeppole,salt,2
zeppole,amaretto,20
zeppole,raisins,30
caprese vanilla & raspberry,almond flour,40
caprese vanilla & raspberry,sugar,25
caprese vanilla & raspberry,eggs,50
caprese vanilla & raspberry,vanilla extract,2
caprese vanilla & raspberry,raspberries,60
caprese vanilla & raspberry,butter,25
caprese vanilla & raspberry,powdered sugar,10
plum-nut raw cake,plums,50
plum-nut raw cake,cashew nuts,50
plum-nut raw cake,peanuts,30
plum-nut raw cake,walnuts,30
plum-nut raw cake,coconut oil,20
plum-nut raw cake,cocoa powder,20
